step,cost,cost_reduction,percent_reduction
0,5450.6720000000005,0.0,0.0
1,5450.6720000000005,0.0,0.0
2,5450.6720000000005,0.0,0.0
3,5450.6720000000005,0.0,0.0
4,5450.6720000000005,0.0,0.0
5,5450.6720000000005,0.0,0.0
6,5450.6720000000005,0.0,0.0
7,5450.6720000000005,0.0,0.0
8,5450.6720000000005,0.0,0.0
9,5450.6720000000005,0.0,0.0
10,5450.6720000000005,0.0,0.0
11,5450.6720000000005,0.0,0.0
12,5450.6720000000005,0.0,0.0
13,5450.6720000000005,0.0,0.0
14,5450.6720000000005,0.0,0.0
15,5450.6720000000005,0.0,0.0
16,5450.6720000000005,0.0,0.0
17,5450.6720000000005,0.0,0.0
18,5450.6720000000005,0.0,0.0
19,5450.6720000000005,0.0,0.0
20,5450.6720000000005,0.0,0.0
21,5450.6720000000005,0.0,0.0
22,5450.6720000000005,0.0,0.0
23,5450.6720000000005,0.0,0.0
24,5450.6720000000005,0.0,0.0
25,5450.6720000000005,0.0,0.0
26,5450.6720000000005,0.0,0.0
27,5450.6720000000005,0.0,0.0
28,5450.6720000000005,0.0,0.0
29,5450.6720000000005,0.0,0.0
30,5450.6720000000005,0.0,0.0
